0506	0035	65,4
0760	0002	99,9
1190	0008	0,04
0396	0005	2,37
0770	0023	0,
0684	0031	2,9
1020	0012	0
0062	0036	433,
0312	0010	13,7
0469	0041	3,
0367	0032	0,
1022	0021	0,2
1004	0035	2
0649	0001	0,9
0915	0012	15
0528	0013	0,5
0241	0016	56,4
0915	0044	4,5
0174	0008	0,14
0479	0039	0,8
1020	0010	0
1195	0011	11,3
0367	0001	20,6
1170	0028	0,075
1020	0137	0,23
0242	0001	8,0
0252	0015	0,9
0224	0034	135,
0227	0008	0,04
0479	0036	30,
0849	0036	780,
0625	0033	25,
0354	0013	4,5
0438	0021	0,
0820	0021	0,01
0585	0040	0,17
0585	0012	5,6
1170	0039	0,1
0315	0006	0
0318	0039	2,73
0915	0137	1,1
0001	0009	770
0871	0031	0,
0053	0029	32
0786	0011	4,2
0062	0010	2,0
0264	0028	0,03
0254	0041	4,9
1112	0015	1,8
0429	0031	0,
0966	0010	12,5
0318	0011	0,
0760	0012	0,
0363	0021	0,20
0506	0037	1375,
0354	0014	0,
1126	0008	0,3
0147	0013	0,
0159	0008	0,49
0159	0044	2,53
0129	0028	0,004
1109	0017	0
0346	0010	56,9
0920	0001	8
0849	0011	0,
0006	0005	4,49
0760	0006	0
0353	0001	11,5
0085	0002	19
0649	0029	14,
0765	0016	90,4
0914	0012	17
0623	0024	0,170
0053	0034	103
1109	0024	0
0006	0013	11
0984	0038	0,66
1112	0029	10
0363	0011	6,7
0734	0009	0
0536	0036	558
0313	0003	0,7
0515	0138	0,1
0338	0011	0,50
0871	0038	3
0866	0040	0,05
1164	0012	0,5
0503	0004	6,02
0665	0034	200,
1067	0008	0
0981	0040	0,09
0539	0024	0,12
1240	0013	2,6
0159	0032	0,61
0803	0040	0,001
0315	0017	0
0111	0039	0,009
0106	0006	0,1
0919	0011	17,2
0810	0024	0,16
0464	0029	4
0373	0044	40,8
0685	0037	120,
0317	0034	87,
0585	0006	0
0811	0017	44,4167
0072	0013	0
0436	0020	3,33
1112	0016	71,4
0750	0004	0,2
0726	0035	1,
0690	0009	51
0515	0012	17,0
1170	0004	0,05
0200	0008	0
0719	0034	17,2
0006	0044	8,1
0241	0017	10
0568	0031	0,
0185	0031	0
0318	0002	5,2
0665	0032	0,
1067	0137	1,6
0810	0008	0,06
0883	0020	7,5
1072	0002	18,0
0876	0032	0,
0474	0138	0,54
1109	0021	0
0374	0034	106,
0959	0137	0,70
1121	0003	9,0
0363	0032	63,
0264	0010	11
0351	0009	104
0525	0028	0,32
1133	0016	91,9
1170	0031	0
1004	0137	0
0708	0017	0
0178	0011	3
0309	0015	3,2
0363	0033	27,
0079	0003	11,0
0981	0036	540
1016	0034	205
0807	0138	0,222
0981	0037	200
0214	0033	2,
1169	0017	752
0283	0036	135,
0870	0014	0,
0241	0005	1,15
1029	0031	0,29
0925	0020	0
0786	0024	0,020
1099	0008	0,4
0726	0004	6,94
0362	0044	1,04
0338	0029	154
0855	0020	0,
1181	0015	1,22
0697	0006	0
